473,1,01/30/2013 20:23:22,01/30/2013 20:23:22,,PS Vita Package,,publish,closed,closed,,ipad-ps-vita-package,,,02/05/2013 20:02:46,02/05/2013 20:02:46,,0,http://gamerosity.my/?post_type=hero-packages&#038;p=473,2,hero-packages,,0
475,1,01/30/2013 20:31:59,01/30/2013 20:31:59,,iPad Mini,,publish,closed,closed,,ipad-mini,,,10/17/2014 21:31:13,10/18/2014 04:31:13,,0,http://gamerosity.my/?post_type=hero-packages&#038;p=475,1,hero-packages,,0
2940,1,10/24/2013 17:38:50,10/24/2013 17:38:50,,iPod Touch,,publish,closed,closed,,ipod-touch,,,10/24/2013 17:40:07,10/24/2013 17:40:07,,0,http://www.gamerosity.com/?post_type=hero-packages&#038;p=2940,0,hero-packages,,0
4979,1,05/22/2014 15:47:35,05/22/2014 15:47:35,,Education Package,,publish,closed,closed,,education-package,,,05/22/2014 15:47:35,05/22/2014 15:47:35,,0,http://www.gamerosity.com/?post_type=hero-packages&#038;p=4979,0,hero-packages,,0
6054,1,07/17/2014 20:03:33,07/18/2014 03:03:33,,Gamerosity Goodie Pack,,publish,closed,closed,,gamerosity-goodie-pac,,,07/17/2014 20:04:00,07/18/2014 03:04:00,,0,http://www.gamerosity.com/?post_type=hero-packages&#038;p=6054,0,hero-packages,,0
9733,1,04/22/2015 18:07:29,04/23/2015 01:07:29,,Twins Special Hero Package,,publish,closed,closed,,twins-special-hero-package,,,04/22/2015 18:07:29,04/23/2015 01:07:29,,0,http://www.gamerosity.com/?post_type=hero-packages&#038;p=9733,0,hero-packages,,0
9860,1,05/19/2015 11:36:37,05/19/2015 18:36:37,,Child Most In Need,,publish,closed,closed,,child-most-in-need,,,05/19/2015 11:36:37,05/19/2015 18:36:37,,0,http://www.gamerosity.com/?post_type=hero-packages&#038;p=9860,0,hero-packages,,0
