1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
57,3,0
58,4,0
79,3,0
101,4,0
102,4,0
233,1,0
234,1,0
235,1,0
236,1,0
237,1,0
237,6,0
238,1,0
238,6,0
239,6,0
334,1,0
334,6,0
337,1,0
337,6,0
340,6,0
393,3,0
394,3,0
395,3,0
404,3,0
406,3,0
408,5,0
409,5,0
410,5,0
414,5,0
424,5,0
425,5,0
429,5,0
430,5,0
431,5,0
444,11,0
451,9,0
465,25,0
465,26,0
470,3,0
479,9,0
484,9,0
484,25,0
484,26,0
484,45,0
492,27,0
495,27,0
510,1,0
510,6,0
511,1,0
511,6,0
551,25,0
551,26,0
558,9,0
582,11,0
582,37,0
582,39,0
582,42,0
592,11,0
592,28,0
592,29,0
592,30,0
592,31,0
628,6,0
637,27,0
638,25,0
638,26,0
639,25,0
639,26,0
640,25,0
640,26,0
641,25,0
641,26,0
643,25,0
643,26,0
644,25,0
644,26,0
645,25,0
645,26,0
646,25,0
646,26,0
649,27,0
672,9,0
699,9,0
739,27,0
765,9,0
781,11,0
781,20,0
781,21,0
781,22,0
781,23,0
781,32,0
781,33,0
792,11,0
792,20,0
792,21,0
792,22,0
792,23,0
816,11,0
816,20,0
816,21,0
816,22,0
816,23,0
816,34,0
822,11,0
831,9,0
831,41,0
836,9,0
838,11,0
838,28,0
838,29,0
838,30,0
838,31,0
838,44,0
840,9,0
864,5,0
911,27,0
912,27,0
915,11,0
915,20,0
915,21,0
915,22,0
915,23,0
954,17,0
955,17,0
956,17,0
957,17,0
958,17,0
959,17,0
964,17,0
965,17,0
966,17,0
967,17,0
968,17,0
986,17,0
987,17,0
1000,17,0
1002,17,0
1003,17,0
1004,17,0
1005,17,0
1006,17,0
1007,17,0
1008,17,0
1009,17,0
1010,17,0
1011,17,0
1012,17,0
1013,17,0
1014,17,0
1016,17,0
1017,17,0
1018,17,0
1019,17,0
1020,17,0
1021,17,0
1023,17,0
1024,5,0
1025,17,0
1026,17,0
1027,17,0
1033,17,0
1034,17,0
1042,17,0
1054,17,0
1055,17,0
1056,17,0
1057,17,0
1058,17,0
1060,17,0
1061,17,0
1062,17,0
1063,17,0
1064,17,0
1110,17,0
1111,17,0
1114,17,0
1148,17,0
1149,17,0
1150,17,0
1151,17,0
1152,17,0
1153,17,0
1154,17,0
1155,17,0
1156,17,0
1157,17,0
1158,17,0
1159,17,0
1160,17,0
1161,17,0
1162,19,0
1163,19,0
1164,17,0
1165,17,0
1166,17,0
1167,17,0
1168,17,0
1169,17,0
1170,17,0
1171,17,0
1172,17,0
1173,17,0
1174,17,0
1175,17,0
1176,17,0
1177,17,0
1178,17,0
1179,17,0
1180,17,0
1182,17,0
1183,17,0
1184,17,0
1188,17,0
1189,17,0
1190,17,0
1191,17,0
1192,17,0
1193,17,0
1219,17,0
1220,17,0
1221,17,0
1222,17,0
1223,17,0
