1,1,category,,0,0
2,2,link_category,,0,7
3,3,nav_menu,,0,9
4,4,nav_menu,,0,3
5,5,nav_menu,,0,11
6,6,category,,0,0
9,9,product_type,,0,7
10,10,product_type,,0,0
11,11,product_type,,0,176
12,12,product_type,,0,0
13,13,shop_order_status,,0,19
14,14,shop_order_status,,0,0
15,15,shop_order_status,,0,3
16,16,shop_order_status,,0,12
17,17,shop_order_status,,0,3808
18,18,shop_order_status,,0,1
19,19,shop_order_status,,0,14
20,20,pa_size,,0,167
21,21,pa_size,,0,167
22,22,pa_size,,0,167
23,23,pa_size,,0,167
25,25,product_cat,,0,78
26,26,product_cat,,0,122
27,27,category,,0,3
28,28,pa_bracelet-sizes,,0,0
29,29,pa_bracelet-sizes,,0,0
30,30,pa_bracelet-sizes,,0,0
31,31,pa_bracelet-sizes,,0,0
32,32,pa_size,,0,156
33,33,pa_size,,0,0
34,34,pa_size,,0,145
35,35,pa_size,,0,131
36,36,pa_size,,0,0
37,37,pa_pack,,0,2
38,38,pa_pack,,0,0
39,28,pa_pack,,0,2
40,39,pa_pack,,0,0
41,40,product_cat,,0,4
42,41,product_cat,,0,4
43,42,product_cat,,0,113
44,43,product_cat,,0,1
45,44,product_cat,,0,2
46,45,pa_event-package,,0,1
47,46,pa_event-package,,0,1
48,47,pa_event-package,,0,1
49,48,product_cat,,0,1
50,49,product_cat,,0,57
51,50,pa_style,,0,1
52,51,pa_style,,0,1
53,52,pa_beanie-color,,0,1
54,53,pa_beanie-color,,0,1
55,54,pa_beanie-color,,0,1
56,55,pa_beanie-color,,0,1
57,56,pa_beanie-color,,0,1
58,57,product_cat,,0,6
59,58,product_cat,,0,0
60,59,product_cat,,0,8
61,60,product_cat,,0,0
62,61,product_cat,,0,0
63,62,product_cat,,0,19
64,63,pa_beanie-color,,0,1
65,64,pa_cape-colors,,0,0
66,65,pa_cape-colors,,0,0
67,66,pa_cape-colors,,0,0
68,67,pa_size,,0,2
69,68,pa_size,,0,2
70,29,pa_size,,0,2
71,31,pa_size,,0,2
72,39,pa_size,,0,2
73,69,pa_size,,0,2
74,70,pa_style,,0,2
75,71,pa_style,,0,2
76,72,product_cat,,0,7
77,73,pa_partnering-organization,,0,10
78,74,pa_partnering-organization,,0,10
79,75,pa_partnering-organization,,0,10
80,76,pa_partnering-organization,,0,10
81,77,pa_partnering-organization,,0,10
82,78,product_cat,,0,10
