92,1,12/04/2012 20:29:47,12/04/2012 20:29:47,,logo,,inherit,open,open,,logo,,,12/04/2012 20:29:47,12/04/2012 20:29:47,,76,/wp-content/uploads/2012/12/logo.jpg,0,attachment,image/jpeg,0
97,1,12/04/2012 21:29:02,12/04/2012 21:29:02,,logo,,inherit,open,open,,logo-2,,,12/04/2012 21:29:02,12/04/2012 21:29:02,,76,/wp-content/uploads/2012/12/logo1.jpg,0,attachment,image/jpeg,0
99,1,12/04/2012 22:27:34,12/04/2012 22:27:34,,logo,,inherit,open,open,,logo-3,,,12/04/2012 22:27:34,12/04/2012 22:27:34,,76,/wp-content/uploads/2012/12/logo.png,0,attachment,image/png,0
147,1,12/05/2012 19:32:01,12/05/2012 19:32:01,,city,,inherit,open,open,,city,,,12/05/2012 19:32:01,12/05/2012 19:32:01,,144,/wp-content/uploads/2012/12/city.jpg,0,attachment,image/jpeg,0
150,1,12/05/2012 19:52:14,12/05/2012 19:52:14,,city2,,inherit,open,open,,city2,,,12/05/2012 19:52:14,12/05/2012 19:52:14,,138,/wp-content/uploads/2012/12/city2.jpg,0,attachment,image/jpeg,0
172,1,12/05/2012 23:21:00,12/05/2012 23:21:00,,person-placeholder-male,,inherit,open,open,,person-placeholder-male,,,12/05/2012 23:21:00,12/05/2012 23:21:00,,68,/wp-content/uploads/2012/12/person-placeholder-male.jpg,0,attachment,image/jpeg,0
218,1,12/06/2012 16:48:00,12/06/2012 16:48:00,,city2,,inherit,open,open,,city2-2,,,12/06/2012 16:48:00,12/06/2012 16:48:00,,213,/wp-content/uploads/2012/12/city21.jpg,0,attachment,image/jpeg,0
242,1,12/06/2012 20:24:05,12/06/2012 20:24:05,,city,,inherit,open,open,,city-2,,,12/06/2012 20:24:05,12/06/2012 20:24:05,,0,/wp-content/uploads/2012/12/city1.jpg,0,attachment,image/jpeg,0
251,1,12/06/2012 20:53:35,12/06/2012 20:53:35,,city2,,inherit,open,open,,city2-3,,,12/06/2012 20:53:35,12/06/2012 20:53:35,,0,/wp-content/uploads/2012/12/city22.jpg,0,attachment,image/jpeg,0
262,1,12/06/2012 21:19:08,12/06/2012 21:19:08,,city2,,inherit,open,open,,city2-4,,,12/06/2012 21:19:08,12/06/2012 21:19:08,,0,/wp-content/uploads/2012/12/city23.jpg,0,attachment,image/jpeg,0
