26781,1666,_swatch_type_options,"a:1:{s:7:""pa_size"";a:3:{s:4:""type"";s:12:""term_options"";s:4:""size"";s:19:""swatches_image_size"";s:10:""attributes"";a:7:{s:2:""xs"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:5:""small"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:6:""medium"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:5:""large"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:7:""x-large"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:3:""xxl"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:4:""xxxl"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}}}}"
26782,1666,total_sales,48
26783,1666,_regular_price,
26784,1666,_sale_price,
26785,1666,_tax_status,taxable
26786,1666,_tax_class,
26787,1666,_visibility,visible
26788,1666,_purchase_note,
26789,1666,_featured,yes
26790,1666,_weight,
26791,1666,_length,
26792,1666,_width,
26793,1666,_height,
26794,1666,_sku,Game-On-Ragland-Ladies
26795,1666,_product_attributes,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""2"";s:10:""is_visible"";i:0;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}"
26796,1666,_downloadable,no
26797,1666,_virtual,no
26798,1666,_sale_price_dates_from,
26799,1666,_sale_price_dates_to,
26800,1666,_price,22.50
26801,1666,_stock,0
26802,1666,_stock_status,outofstock
26803,1666,_backorders,no
26804,1666,_manage_stock,yes
26805,1666,_min_variation_price,22.50
26806,1666,_max_variation_price,25.50
26807,1666,_min_variation_regular_price,22.50
26808,1666,_max_variation_regular_price,25.50
26809,1666,_min_variation_sale_price,
26810,1666,_max_variation_sale_price,
26811,1666,_default_attributes,a:0:{}
26812,1666,product_cost,11.25
26813,1666,_product_cost,field_30
26814,1666,lifestyle_panel,
26815,1666,_lifestyle_panel,field_45
33632,1666,_wp_old_slug,ladies-game-on-microburn-long-sleeve-ragland
54170,1666,_thumbnail_id,2547
26485,1647,_edit_last,1
26486,1647,_edit_lock,1410575186:1
26487,1647,_swatch_type,pickers
