787,1,02/08/2013 22:04:55,02/08/2013 22:04:55,,Variation #787 of Love Hope Gamerosity,,publish,open,open,,product-782-variation-2,,,02/08/2013 22:04:55,02/08/2013 22:04:55,,782,http://gamerosity.my/?product_variation=product-782-variation-2,167,product_variation,,0
788,1,02/08/2013 22:04:55,02/08/2013 22:04:55,,Variation #788 of Love Hope Gamerosity,,publish,open,open,,product-782-variation-3,,,02/08/2013 22:04:55,02/08/2013 22:04:55,,782,http://gamerosity.my/?product_variation=product-782-variation-3,166,product_variation,,0
789,1,02/08/2013 22:04:55,02/08/2013 22:04:55,,Variation #789 of Love Hope Gamerosity,,publish,open,open,,product-782-variation-4,,,02/08/2013 22:04:55,02/08/2013 22:04:55,,782,http://gamerosity.my/?product_variation=product-782-variation-4,165,product_variation,,0
798,1,02/08/2013 22:11:51,02/08/2013 22:11:51,,Variation #798 of We Are Gamerosity,,publish,open,open,,product-793-variation,,,02/08/2013 22:11:51,02/08/2013 22:11:51,,793,http://gamerosity.my/?product_variation=product-793-variation,162,product_variation,,0
799,1,02/08/2013 22:11:51,02/08/2013 22:11:51,,Variation #799 of We Are Gamerosity,,publish,open,open,,product-793-variation-2,,,02/08/2013 22:11:51,02/08/2013 22:11:51,,793,http://gamerosity.my/?product_variation=product-793-variation-2,161,product_variation,,0
800,1,02/08/2013 22:11:51,02/08/2013 22:11:51,,Variation #800 of We Are Gamerosity,,publish,open,open,,product-793-variation-3,,,02/08/2013 22:11:51,02/08/2013 22:11:51,,793,http://gamerosity.my/?product_variation=product-793-variation-3,163,product_variation,,0
801,1,02/08/2013 22:11:51,02/08/2013 22:11:51,,Variation #801 of We Are Gamerosity,,publish,open,open,,product-793-variation-4,,,02/08/2013 22:11:51,02/08/2013 22:11:51,,793,http://gamerosity.my/?product_variation=product-793-variation-4,164,product_variation,,0
811,1,02/08/2013 22:19:35,02/08/2013 22:19:35,,Variation #811 of ScripTee Unisex Basic,,publish,open,open,,product-803-variation,,,02/08/2013 22:19:35,02/08/2013 22:19:35,,803,http://gamerosity.my/?product_variation=product-803-variation,2,product_variation,,0
812,1,02/08/2013 22:19:35,02/08/2013 22:19:35,,Variation #812 of ScripTee Unisex Basic,,publish,open,open,,product-803-variation-2,,,02/08/2013 22:19:35,02/08/2013 22:19:35,,803,http://gamerosity.my/?product_variation=product-803-variation-2,1,product_variation,,0
814,1,02/08/2013 22:19:35,02/08/2013 22:19:35,,Variation #814 of ScripTee Unisex Basic,,publish,open,open,,product-803-variation-4,,,02/08/2013 22:19:35,02/08/2013 22:19:35,,803,http://gamerosity.my/?product_variation=product-803-variation-4,3,product_variation,,0
